Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Desc_Next1,Desc_Next2,Desi_Ques,Narr1_seed,Narr2_seed,Narr3_seed,Narr1,Narr2,Narr3,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label,Image_web
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,1,S000. Opening Slide for PPS – Sales – Blanket Order Processing,S000. Opening Slide for PPS – Sales – Blanket Order Processing,S000,Opening Slide for PPS – Sales – Blanket Order Processing,../images/BlanketOrder/S000.png,,S001,,About Palco Power Systems and Scott Electric and a Welcome to Training,,,Opening Slide for PPS – Sales – Blanket Order Processing,Opening Slide for PPS.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",Slide S000. Opening Slide for PPS – Sales – Blanket Order Processing — Opening Slide for PPS – Sales – Blanket Order Processing.,Opening Slide for PPS.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",,,Yes,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S000.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,2,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,../images/BlanketOrder/S001.png,,S002,,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,,,About Palco Power Systems and Scott Electric and a Welcome to Training,About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",Slide S001. About Palco Power Systems and Scott Electric and a Welcome to Training — About Palco Power Systems and Scott Electric and a Welcome to Training.,About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S001.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,3,S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,S002,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,../images/BlanketOrder/S002.png,,S003,,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,,,Palco Power Systems Service to Cash Work Flow – at Palco Power Systems,This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. This work reflects the dedication of the Palco team—including Tanner Schwartz, Valerie Markish, Tim Drop, Jen Schlegel, and Subi Rajagopalan—along with support from the broader ERP project, Champions, and Executive Sponsors. The management teams at Palco Power Systems and Scott Electric continue to support these efforts by prioritizing training, process improvement, and the successful adoption of the new system.

Welcome to the Palco Power Systems Training Site.
This section of the Scott Electric Training Site is designed to help you build the knowledge and skills needed to support our power systems customers safely, accurately, and efficiently—whether you work in sales, service, parts, rentals, administration, or support. Here you will find guided learning, reference materials, and role-based courses tailored to the work we do every day at Palco: sizing and selecting generators, supporting projects, coordinating installations, servicing equipment, and taking care of customers before, during, and after the sale.

Thank you for investing your time in training. Your commitment to learning and continuous improvement helps keep Palco Power Systems—and Scott Electric as a whole—reliable, responsive, and growing as we continue our customer-focused operations.",Slide S002. Palco Power Systems Service to Cash Work Flow – at Palco Power Systems — Palco Power Systems Service to Cash Work Flow – at Palco Power Systems.,This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. This work reflects the dedication of the Palco team—including Tanner Schwartz, Valerie Markish, Tim Drop, Jen Schlegel, and Subi Rajagopalan—along with support from the broader ERP project, Champions, and Executive Sponsors. The management teams at Palco Power Systems and Scott Electric continue to support these efforts by prioritizing training, process improvement, and the successful adoption of the new system.

Welcome to the Palco Power Systems Training Site.
This section of the Scott Electric Training Site is designed to help you build the knowledge and skills needed to support our power systems customers safely, accurately, and efficiently—whether you work in sales, service, parts, rentals, administration, or support. Here you will find guided learning, reference materials, and role-based courses tailored to the work we do every day at Palco: sizing and selecting generators, supporting projects, coordinating installations, servicing equipment, and taking care of customers before, during, and after the sale.

Thank you for investing your time in training. Your commitment to learning and continuous improvement helps keep Palco Power Systems—and Scott Electric as a whole—reliable, responsive, and growing as we continue our customer-focused operations.",,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S002.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,4,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,../images/BlanketOrder/S003.png,,M1,,Blanket Order Creation and Processing SOP - PPS Sales,,,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it",Slide S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service — Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service.,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it",,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S003.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,5,M1. Blanket Order Creation and Processing SOP - PPS Sales,M1. Blanket Order Creation and Processing SOP - PPS Sales,M1,Blanket Order Creation and Processing SOP - PPS Sales,../images/BlanketOrder/M1.png,,S1,,Contractor places an Order for a Generator- PPS Sales,,,Blanket Order Creation and Processing SOP - PPS Sales,Blanket Order Creation and Processing SOP - PPS Sales,This process is used in both Industrial and Residential sales The process handles both sold from stock generators and Special build generators,Slide M1. Blanket Order Creation and Processing SOP - PPS Sales — Blanket Order Creation and Processing SOP - PPS Sales.,Blanket Order Creation and Processing SOP - PPS Sales,This process is used in both Industrial and Residential sales The process handles both sold from stock generators and Special build generators,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/M1.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,6,S1. Contractor places an Order for a Generator- PPS Sales,S1. Contractor places an Order for a Generator- PPS Sales,S1,Contractor places an Order for a Generator- PPS Sales,../images/BlanketOrder/S1.png,,S2,,Create a Blanket Order using OPM - PPS Sales,,,Contractor places an Order for a Generator- PPS Sales,Contractor places an Order for a Generator- PPS Sales,The contractor places an order for the generator after reviewing our specifications,Slide S1. Contractor places an Order for a Generator- PPS Sales — Contractor places an Order for a Generator- PPS Sales.,Contractor places an Order for a Generator- PPS Sales,The contractor places an order for the generator after reviewing our specifications,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S1.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,7,S2. Create a Blanket Order using OPM - PPS Sales,S2. Create a Blanket Order using OPM - PPS Sales,S2,Create a Blanket Order using OPM - PPS Sales,../images/BlanketOrder/S2.png,,D1,,Decision is the Generator a “Modified Build” ? - PPS Sales,,,Create a Blanket Order using OPM - PPS Sales,Create a Blanket Order using OPM - PPS Sales,"the process starts with the creation of Blanket Order A blanket order (BL) represents a contract to supply a quantity of goods to be shipped on different dates, and possibly to different locations, over a specified period of time. BLs are automatically converted to blanket releases (BR) when it comes time to ship the products. Use these instructions to create a BL.

Select Sales > Entry > Order.
Select Blanket Order in the Order Type field.
Specify the required information on the page, and then click Next.
To use lump sum billing:
Select the Lump Sum Bill option and specify an amount.
Select the Print Line Price option to print prices on invoices.
Click Submit.
If lump sum billing does not apply to the order, click Submit without specifying any information.",Slide S2. Create a Blanket Order using OPM - PPS Sales — Create a Blanket Order using OPM - PPS Sales.,Create a Blanket Order using OPM - PPS Sales,"the process starts with the creation of Blanket Order A blanket order (BL) represents a contract to supply a quantity of goods to be shipped on different dates, and possibly to different locations, over a specified period of time. BLs are automatically converted to blanket releases (BR) when it comes time to ship the products. Use these instructions to create a BL.

Select Sales > Entry > Order.
Select Blanket Order in the Order Type field.
Specify the required information on the page, and then click Next.
To use lump sum billing:
Select the Lump Sum Bill option and specify an amount.
Select the Print Line Price option to print prices on invoices.
Click Submit.
If lump sum billing does not apply to the order, click Submit without specifying any information.",01_Create a Blanket Order,https://scottelectricusa.uap.infor.com/#/content/eaababd2-d936-4c5e-b198-e33cd1c78a22?contextId=1117d5a4-031c-40fd-bc51-f8d6bb1f1345&bypassGroupFiltering=false,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/S2.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,8,D1. Decision is the Generator a “Modified Build” ? - PPS Sales,D1. Decision is the Generator a “Modified Build” ? - PPS Sales,D1,Decision is the Generator a “Modified Build” ? - PPS Sales,../images/BlanketOrder/D1.png,Decision Is the Generator a “Modified Build” ?,Y1,N1,Yes the Order is  “Modified Build” Generator - PPS Sales,"No, Generator is not a “Modified Build”",Decision Is the Generator a “Modified Build” ?,Yes Generator a “Modified Build” ? - PPS Sales,Decision is the Generator a “Modified Build” ? - PPS Sales,"A key decision needs to be taken if the order requires a ""modified Generator Build"" or a standard unit",Slide D1. Decision is the Generator a “Modified Build” ? - PPS Sales — Yes Generator a “Modified Build” ? - PPS Sales.,Decision is the Generator a “Modified Build” ? - PPS Sales,"A key decision needs to be taken if the order requires a ""modified Generator Build"" or a standard unit",,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/D1.png
C:\Users\scottuser\Documents\SonetLumier\WIP\PPS\PPS_BlanketOrder\PPS_BlanketOrder_01012026_1442.pptx,9,"Y1. Yes, Generator is a “Modified Build” - PPS Sales","Y1. Yes, Generator is a “Modified Build” - PPS Sales",Y1,"Yes, Generator is a “Modified Build” - PPS Sales",../images/BlanketOrder/Y1.png,,S3,,Create an order with a “Order as needed Stock Item” OPM - PPS Sales,,,"Yes, Generator is a “Modified Build” - PPS Sales","Yes, Generator is a “Modified Build” - PPS Sales",In this path it was determined that a modified generator needs to be created,"Slide Y1. Yes, Generator is a “Modified Build” - PPS Sales — Yes, Generator is a “Modified Build” - PPS Sales.","Yes, Generator is a “Modified Build” - PPS Sales",In this path it was determined that a modified generator needs to be created,,,No,PALCO,Sales,BlanketOrder,,../faq,PPS_BlanketOrder_faq.html,Blanket_Order_FAQ,,,,../images/BlanketOrder/Y1.png
