Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Desc_Next1,Desc_Next2,Desi_Ques,Narr1_seed,Narr2_seed,Narr3_seed,Narr1,Narr2,Narr3,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label,Image_web,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,1,S000. Opening Slide for PPS – Service – Generator Startup Deck,S000. Opening Slide for PPS – Service – Generator Startup Deck,S000,Opening Slide for PPS – Service – Generator Startup Deck,../images/StartUp/S000.png,,S001,,About Palco Power Systems and Scott Electric -and a Welcome to Training,,,Opening Slide for PPS.,Opening Slide for PPS.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",Slide S000. Opening Slide for PPS – Service – Generator Startup Deck — Opening Slide for PPS.,Opening Slide for PPS.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:
• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.
• 1984 – Territory expands to include West Virginia and western Maryland.
• 1989 – Area of responsibility further expands to include western New York State.
• 1993 – Scott Electric Company acquires Palco.
• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations.",,,Yes,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S000.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,2,S001. About Palco Power Systems and Scott Electric -and a Welcome to Training,S001. About Palco Power Systems and Scott Electric -and a Welcome to Training,S001,About Palco Power Systems and Scott Electric -and a Welcome to Training,../images/StartUp/S001.png,,S002,,Palco Power Systems – Service to Cash Work Flow,,,About Palco Power Systems and Scott Electric and a Welcome to Training.,About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. This work reflects the dedication of the Palco team—including Tanner Schwartz, Valerie Markish, Tim Drop, Jen Schlegel, and Subi Rajagopalan—along with support from the broader ERP project, Champions, and Executive Sponsors. The management teams at Palco Power Systems and Scott Electric continue to support these efforts by prioritizing training, process improvement, and the successful adoption of the new system.

Welcome to the Palco Power Systems Training Site.
This section of the Scott Electric Training Site is designed to help you build the knowledge and skills needed to support our power systems customers safely, accurately, and efficiently—whether you work in sales, service, parts, rentals, administration, or support. Here you will find guided learning, reference materials, and role-based courses tailored to the work we do every day at Palco: sizing and selecting generators, supporting projects, coordinating installations, servicing equipment, and taking care of customers before, during, and after the sale.

Thank you for investing your time in training. Your commitment to learning and continuous improvement helps keep Palco Power Systems—and Scott Electric as a whole—reliable, responsive, and growing as we continue our customer-focused operations.",Slide S001. About Palco Power Systems and Scott Electric -and a Welcome to Training — About Palco Power Systems and Scott Electric and a Welcome to Training.,About Palco Power Systems and Scott Electric and a Welcome to Training.,"Palco Power Systems is a specialized power solutions provider and an authorized KOHLER distributor, serving customers across western Pennsylvania, West Virginia, and western Maryland. Since 1972, Palco has supplied reliable generator systems and power equipment to industrial, commercial, municipal, healthcare, and residential customers who depend on uninterrupted power.
As part of the Scott Electric family since 1993, Palco Power Systems combines deep technical expertise with the broader resources of a leading independent electrical distributor. Our portfolio includes KOHLER industrial, mobile (towable), residential, and portable generator systems; pumps; other power systems and components; Honda portable units; transfer equipment; and related accessories, including ASCO and PSP components.
Over the years, Palco’s territory and responsibilities have grown along with its reputation:• 1972 – Palco becomes an authorized KOHLER distributor in western Pennsylvania.• 1984 – Territory expands to include West Virginia and western Maryland.• 1989 – Area of responsibility further expands to include western New York State.• 1993 – Scott Electric Company acquires Palco.• 2001 – Territory is adjusted with the removal of western New York State.
Most recently, Palco Power Systems was the first Scott Electric division to host a Conference Room Pilot (CRP) for the new Infor CloudSuite software, demonstrating leadership and innovation in how we use technology to support customers and internal operations. This work reflects the dedication of the Palco team—including Tanner Schwartz, Valerie Markish, Tim Drop, Jen Schlegel, and Subi Rajagopalan—along with support from the broader ERP project, Champions, and Executive Sponsors. The management teams at Palco Power Systems and Scott Electric continue to support these efforts by prioritizing training, process improvement, and the successful adoption of the new system.

Welcome to the Palco Power Systems Training Site.
This section of the Scott Electric Training Site is designed to help you build the knowledge and skills needed to support our power systems customers safely, accurately, and efficiently—whether you work in sales, service, parts, rentals, administration, or support. Here you will find guided learning, reference materials, and role-based courses tailored to the work we do every day at Palco: sizing and selecting generators, supporting projects, coordinating installations, servicing equipment, and taking care of customers before, during, and after the sale.

Thank you for investing your time in training. Your commitment to learning and continuous improvement helps keep Palco Power Systems—and Scott Electric as a whole—reliable, responsive, and growing as we continue our customer-focused operations.",,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S001.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,3,S002. Palco Power Systems – Service to Cash Work Flow,S002. Palco Power Systems – Service to Cash Work Flow,S002,Palco Power Systems – Service to Cash Work Flow,../images/StartUp/S002.png,,S003,,Pictorial representation of   Service  to Cash,,,Parts Personnel Technicians Manufacturer's Guide.,This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it",Slide S002. Palco Power Systems – Service to Cash Work Flow — Parts Personnel Technicians Manufacturer's Guide.,This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a,"This is the overall Work flow on how a service request is processed at Palco Power System. This covers the business process that starts from a request from a customer or based on a contract the need for a routine service that need to be performed. Request from customers could be for a break fix , a warranty question or request for additional work suggest as a nice to perform during the most recent visit by a very well trained and efficient Service technician crea at PPS. This transistions through the various business sections of Service writes Service  , schedulers , technicians , parts department, purchasing , billing and finally collection of payment. Hence the term Service to Cash is ofen used to succinctly name it",,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S002.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,4,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,S003,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service,../images/StartUp/S003.png,,M1,,Generator Startup -,,,Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash.,Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash. he process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.,"This slide depicts the process from Identifying a need for a new PMA Preventive Maintenance Agreement. In the mid 1900 's it used also go by the name Planned Maintenance Schedule. However that was retired as it did not convey the fact that it is a contractual agreement.  The process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.
from that point the process traverses the creation of a customized contract for the owner , followed by setting  up schedule that satisfies the customer and our terms of the agreement , followed by creation of the SRO , finally when the time is right scheduling a technician , then the technician services the unit as per the tasks laid out in the SRO, finally an invoice is generated and as per the terms payment is collected. Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash.",Slide S003. Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash - At PPS Service — Pictorial representation of Quote/ Service Request to Cash similar to Quote to Cash.,Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash. he process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.,"This slide depicts the process from Identifying a need for a new PMA Preventive Maintenance Agreement. In the mid 1900 's it used also go by the name Planned Maintenance Schedule. However that was retired as it did not convey the fact that it is a contractual agreement.  The process begins with either a sales person contacting the owner of newly installed generator or the service tech highlights the advantage of having a PMA to the new generator owner or the owner on their own accord calling PPS to discuss the options for a PMA.
from that point the process traverses the creation of a customized contract for the owner , followed by setting  up schedule that satisfies the customer and our terms of the agreement , followed by creation of the SRO , finally when the time is right scheduling a technician , then the technician services the unit as per the tasks laid out in the SRO, finally an invoice is generated and as per the terms payment is collected. Hence this pictorial representation cover the Service identification to Cash process or as is commonly reffered to as Quote to Cash.",,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S003.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,5,M1. Generator Startup - At PPS Service,M1. Generator Startup - At PPS Service,M1,Generator Startup - At PPS Service,../images/StartUp/M1.png,,S1,,Customer Calls For Start Up,,,,The Start up Service provided by PPS is both essencial and key to starting the Warranty coverage,The Start up Service provided by PPS is both essencial and key to starting the Warranty coverage,Slide M1. Generator Startup - At PPS Service — Generator Startup - At PPS Service.,The Start up Service provided by PPS is both essencial and key to starting the Warranty coverage,The Start up Service provided by PPS is both essencial and key to starting the Warranty coverage,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/M1.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,6,S1. Customer Calls For Start Up– Startup SOP,S1. Customer Calls For Start Up– Startup SOP,S1,Customer Calls For Start Up– Startup SOP,../images/StartUp/S1.png,,D1,,Decision Genset Sold by Palco ?,,,Customer Calls For Start Up– Startup SOP,Either a customer calls or we contact a customer to determine if the unit is ready for startup,Either a customer calls or we contact a customer to determine if the unit is ready for startup,Slide S1. Customer Calls For Start Up– Startup SOP — Customer Calls For Start Up– Startup SOP.,Either a customer calls or we contact a customer to determine if the unit is ready for startup,Either a customer calls or we contact a customer to determine if the unit is ready for startup,04_Create a Start Up Incident,https://scottelectricusa.uap.infor.com/#/content/ec6be92c-71ab-4130-99f8-8d6cc102b0ed?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S1.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,7,D1. Genset Sold by Palco – Startup SOP,D1. Genset Sold by Palco – Startup SOP,D1,Genset Sold by Palco – Startup SOP,../images/StartUp/D1.png,Genset Sold by Palco – Startup SOP?,Y1,N1,Yes Genset Sold by Palco,"No , Generator was not Sold by PPS",Genset Sold by Palco ?,Genset Sold by Palco – Startup SOP,While Palco in its creed to serve the customer would accommodate any startup requests it has to determined if the unit is sold by PPS as startup is then covered if it is not sold by PPS then PPS would have to charge for the startup. Hence it has to be determined that the unit was actually sold by PPS and its resellers.,While Palco in its creed to serve the customer would accommodate any startup requests it has to determined if the unit is sold by PPS as startup is then covered if it is not sold by PPS then PPS would have to charge for the startup. Hence it has to be determined that the unit was actually sold by PPS and its resellers.,Slide D1. Genset Sold by Palco – Startup SOP — Genset Sold by Palco – Startup SOP.,While Palco in its creed to serve the customer would accommodate any startup requests it has to determined if the unit is sold by PPS as startup is then covered if it is not sold by PPS then PPS would have to charge for the startup. Hence it has to be determined that the unit was actually sold by PPS and its resellers.,While Palco in its creed to serve the customer would accommodate any startup requests it has to determined if the unit is sold by PPS as startup is then covered if it is not sold by PPS then PPS would have to charge for the startup. Hence it has to be determined that the unit was actually sold by PPS and its resellers.,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/D1.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,8,Y1. Yes Genset Sold by Palco – Startup SOP,Y1. Yes Genset Sold by Palco – Startup SOP,Y1,Yes Genset Sold by Palco – Startup SOP,../images/StartUp/Y1.png,,D2,,Decision Is Original Order Known?,,,Yes Genset Sold by Palco – Startup SOP,In this case it was assertained that the unit was indeed sold by PPS,In this case it was assertained that the unit was indeed sold by PPS,Slide Y1. Yes Genset Sold by Palco – Startup SOP — Yes Genset Sold by Palco – Startup SOP.,In this case it was assertained that the unit was indeed sold by PPS,In this case it was assertained that the unit was indeed sold by PPS,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/Y1.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,9,D2. Is Original Order Known– Startup SOP,D2. Is Original Order Known– Startup SOP,D2,Is Original Order Known– Startup SOP,../images/StartUp/D2.png,Is Original Order Known– Startup SOP?,Y2,N2,Yes Order Number is known,No Original orger info is not known,Is Original Order Known?,Is Original Order Known– Startup SOP,It is now time to get to the Sales order linked to this Unit. So the question is asked if the called / owner has the original Sales order and Invoice ?,It is now time to get to the Sales order linked to this Unit. So the question is asked if the called / owner has the original Sales order and Invoice ?,Slide D2. Is Original Order Known– Startup SOP — Is Original Order Known– Startup SOP.,It is now time to get to the Sales order linked to this Unit. So the question is asked if the called / owner has the original Sales order and Invoice ?,It is now time to get to the Sales order linked to this Unit. So the question is asked if the called / owner has the original Sales order and Invoice ?,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/D2.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,10,Y2. Order Number is known– Startup SOP,Y2. Order Number is known– Startup SOP,Y2,Order Number is known– Startup SOP,../images/StartUp/Y2.png,,S2,,Perform Order Enquiry,,,Order Number is known– Startup SOP,since the order number is known and in this Infor system the order number is the same as the invoice number it becomes easy to find,since the order number is known and in this Infor system the order number is the same as the invoice number it becomes easy to find,Slide Y2. Order Number is known– Startup SOP — Order Number is known– Startup SOP.,since the order number is known and in this Infor system the order number is the same as the invoice number it becomes easy to find,since the order number is known and in this Infor system the order number is the same as the invoice number it becomes easy to find,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/Y2.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,11,S2. Perform Order Enquiry – Startup SOP,S2. Perform Order Enquiry – Startup SOP,S2,Perform Order Enquiry – Startup SOP,../images/StartUp/S2.png,,S3,,Verify Payment Status,,,Perform Order Enquiry – Startup SOP,Look up the order by performing an order inquiry to determined if the payment has been receied in full and if there are any add on that were purchased by the customer,Look up the order by performing an order inquiry to determined if the payment has been receied in full and if there are any add on that were purchased by the customer,Slide S2. Perform Order Enquiry – Startup SOP — Perform Order Enquiry – Startup SOP.,Look up the order by performing an order inquiry to determined if the payment has been receied in full and if there are any add on that were purchased by the customer,Look up the order by performing an order inquiry to determined if the payment has been receied in full and if there are any add on that were purchased by the customer,09_Order Inquiry Using a Serial Number,https://scottelectricusa.uap.infor.com/#/content/b2be844f-cc50-4661-a4c1-8b36f22cc2dd?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S2.png,
