Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Desc_Next1,Desc_Next2,Desi_Ques,Narr1_seed,Narr2_seed,Narr3_seed,Narr1,Narr2,Narr3,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label,Image_web,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,12,S3. Verify Payment Status – Startup SOP,S3. Verify Payment Status – Startup SOP,S3,Verify Payment Status – Startup SOP,../images/StartUp/S3.png,,S4,,Create Startup Incident,,,Verify Payment Status – Startup SOP,As mentioned earlier the order inquiry screen provides details on the payment status,As mentioned earlier the order inquiry screen provides details on the payment status,Slide S3. Verify Payment Status – Startup SOP — Verify Payment Status – Startup SOP.,As mentioned earlier the order inquiry screen provides details on the payment status,As mentioned earlier the order inquiry screen provides details on the payment status,"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",https://scottelectricusa.uap.infor.com/#/content/2c01fcf6-0aac-4a6d-9dfe-d97f89ba9a22?contextId=18854d62-7553-4002-8b0f-5364ebb21ad0&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S3.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,13,S4. Create Startup Incident – Startup SOP,S4. Create Startup Incident – Startup SOP,S4,Create Startup Incident – Startup SOP,../images/StartUp/S4.png,,S8,,Add Startup Notes,,,Create Startup Incident – Startup SOP,It is now time to create a startup Incident,It is now time to create a startup Incident,Slide S4. Create Startup Incident – Startup SOP — Create Startup Incident – Startup SOP.,It is now time to create a startup Incident,It is now time to create a startup Incident,04_Create a Start Up Incident,https://scottelectricusa.uap.infor.com/#/content/ec6be92c-71ab-4130-99f8-8d6cc102b0ed?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S4.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,14,S8. Add Startup Notes– Startup SOP,S8. Add Startup Notes– Startup SOP,S8,Add Startup Notes– Startup SOP,../images/StartUp/S8.png,,S9,,Add Lines,,,Add Startup Notes– Startup SOP,In order to serve our customer better the service folks at PPS add notes about the customer the premise and expectation of the customer in the notes,In order to serve our customer better the service folks at PPS add notes about the customer the premise and expectation of the customer in the notes,Slide S8. Add Startup Notes– Startup SOP — Add Startup Notes– Startup SOP.,In order to serve our customer better the service folks at PPS add notes about the customer the premise and expectation of the customer in the notes,In order to serve our customer better the service folks at PPS add notes about the customer the premise and expectation of the customer in the notes,05_Add Start Up Notes,https://scottelectricusa.uap.infor.com/#/content/df93e4ab-0e8b-4df6-abe8-267fdd49903f?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S8.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,15,S9. Add Lines,S9. Add Lines,S9,Add Lines– Startup SOP,../images/StartUp/S9.png,,S10,,Schedule startup,,,Add Lines– Startup SOP,In ISM a line is a generator or other unit that is being started in this case or serviced,In ISM a line is a generator or other unit that is being started in this case or serviced,Slide S9. Add Lines– Startup SOP — Add Lines– Startup SOP.,In ISM a line is a generator or other unit that is being started in this case or serviced,In ISM a line is a generator or other unit that is being started in this case or serviced,06_Add Line,https://scottelectricusa.uap.infor.com/#/content/82ed7343-6770-4287-a84b-48f2dc253e44?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S9.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,16,S10. Schedule startup – Startup SOP,S10. Schedule startup – Startup SOP,S10,Schedule startup – Startup SOP,../images/StartUp/S10.png,,S11,,Print Pick ticket,,,Schedule startup – Startup SOP,As we know an incident has to be converted to an SRO and it carries with it all the information provided up till this point,As we know an incident has to be converted to an SRO and it carries with it all the information provided up till this point,Slide S10. Schedule startup – Startup SOP — Schedule startup – Startup SOP.,As we know an incident has to be converted to an SRO and it carries with it all the information provided up till this point,As we know an incident has to be converted to an SRO and it carries with it all the information provided up till this point,11_Schedule Service,https://scottelectricusa.uap.infor.com/#/content/6bb6bd8c-2c6f-46e0-a3d0-e97eed2f230b?contextId=3a4b3dad-96fe-4694-a768-791383f32e32&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S10.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,17,S11. Print Pick ticket– Startup SOP,S11. Print Pick ticket– Startup SOP,S11,Print Pick ticket– Startup SOP,../images/StartUp/S11.png,,S12,,Shipping Feed back,,,Print Pick ticket– Startup SOP,"A start up may need some items that are are not shipped with a generator, for example the carb heater is bought as part of package but is not sent out at the time of the delivery of the generator so this and other parts need to allocated and put on the service truck","A start up may need some items that are are not shipped with a generator, for example the carb heater is bought as part of package but is not sent out at the time of the delivery of the generator so this and other parts need to allocated and put on the service truck",Slide S11. Print Pick ticket– Startup SOP — Print Pick ticket– Startup SOP.,"A start up may need some items that are are not shipped with a generator, for example the carb heater is bought as part of package but is not sent out at the time of the delivery of the generator so this and other parts need to allocated and put on the service truck","A start up may need some items that are are not shipped with a generator, for example the carb heater is bought as part of package but is not sent out at the time of the delivery of the generator so this and other parts need to allocated and put on the service truck",02_Print Pick Ticket,https://scottelectricusa.uap.infor.com/#/content/55285afa-2994-4201-893f-3a4f2973c82b?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S11.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,18,S12. Shipping Feed back – Startup SOP,S12. Shipping Feed back – Startup SOP,S12,Shipping Feed back – Startup SOP,../images/StartUp/S12.png,,S13,,Assigned Tech Performs Start-up,,,Shipping Feed back – Startup SOP,Shipping feed back is the way to process this pick ticket with components etc,Shipping feed back is the way to process this pick ticket with components etc,Slide S12. Shipping Feed back – Startup SOP — Shipping Feed back – Startup SOP.,Shipping feed back is the way to process this pick ticket with components etc,Shipping feed back is the way to process this pick ticket with components etc,03_Shipping Feedback for Start Up,https://scottelectricusa.uap.infor.com/#/content/e046d76e-0ee2-4771-ae37-f9758c1bce84?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S12.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,19,S13. Assigned Tech Performs Start-up– Startup SOP,S13. Assigned Tech Performs Start-up– Startup SOP,S13,Assigned Tech Performs Start-up– Startup SOP,../images/StartUp/S13.png,,S14,,Register Unit,,,Assigned Tech Performs Start-up– Startup SOP,"Based on the size , fuel. Environment in which the unit has to operator a certified start up technician is selected and scheduled","Based on the size , fuel. Environment in which the unit has to operator a certified start up technician is selected and scheduled",Slide S13. Assigned Tech Performs Start-up– Startup SOP — Assigned Tech Performs Start-up– Startup SOP.,"Based on the size , fuel. Environment in which the unit has to operator a certified start up technician is selected and scheduled","Based on the size , fuel. Environment in which the unit has to operator a certified start up technician is selected and scheduled",11_Schedule Service,https://scottelectricusa.uap.infor.com/#/content/6bb6bd8c-2c6f-46e0-a3d0-e97eed2f230b?contextId=3a4b3dad-96fe-4694-a768-791383f32e32&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S13.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,20,S14. Register Unit– Startup SOP,S14. Register Unit– Startup SOP,S14,Register Unit– Startup SOP,../images/StartUp/S14.png,You've reached the end of this path. What would you like to do next?,S998a,S999,You have come to the end of the path selected in the – Generator Startup Process,Go to end of SIP slide,You've reached the end of this path. What would you like to do next?,Register Unit– Startup SOP,once the startup has been successfully completed by a highly skilled and customer focused technician the generator has to Registered as started with KHOLER so as to have it covered by either the standard or other special warranty for which the unit qualifies,once the startup has been successfully completed by a highly skilled and customer focused technician the generator has to Registered as started with KHOLER so as to have it covered by either the standard or other special warranty for which the unit qualifies,Slide S14. Register Unit– Startup SOP — Register Unit– Startup SOP.,once the startup has been successfully completed by a highly skilled and customer focused technician the generator has to Registered as started with KHOLER so as to have it covered by either the standard or other special warranty for which the unit qualifies,once the startup has been successfully completed by a highly skilled and customer focused technician the generator has to Registered as started with KHOLER so as to have it covered by either the standard or other special warranty for which the unit qualifies,08_Register Unit,https://scottelectricusa.uap.infor.com/#/content/44897267-c9a9-4ab1-854a-14b2054b8547?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S14.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,21,S998a. You have come to the end of the path selected in the – Generator Startup Process,S998a. You have come to the end of the path selected in the – Generator Startup Process,S998a,You have come to the end of the path selected in the – Generator Startup Process,../images/StartUp/S998a.png,,N2,,Original Sale Order Not Known,,,"Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny",Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances,"Slide S998a. You have come to the end of the path selected in the – Generator Startup Process — Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny.",Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S998a.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,22,N2. Original Sale Order Not Known – Startup SOP,N2. Original Sale Order Not Known – Startup SOP,N2,Original Sale Order Not Known – Startup SOP,../images/StartUp/N2.png,,S5,,Order Enquiry Using Serial Number,,,,In this case you as the trainee have selected a situation where the generator was sold by us however the person calling to schedule a startup does  not know or have the order number handy so a hunt for a pertinent order needs to be found,In this case you as the trainee have selected a situation where the generator was sold by us however the person calling to schedule a startup does  not know or have the order number handy so a hunt for a pertinent order needs to be found,Slide N2. Original Sale Order Not Known – Startup SOP — Original Sale Order Not Known – Startup SOP.,In this case you as the trainee have selected a situation where the generator was sold by us however the person calling to schedule a startup does  not know or have the order number handy so a hunt for a pertinent order needs to be found,In this case you as the trainee have selected a situation where the generator was sold by us however the person calling to schedule a startup does  not know or have the order number handy so a hunt for a pertinent order needs to be found,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/N2.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,23,S5. Order Enquiry Using Serial Number– Startup SOP,S5. Order Enquiry Using Serial Number– Startup SOP,S5,Order Enquiry Using Serial Number– Startup SOP,../images/StartUp/S5.png,,S3a,,Verify Payment Status,,,,The infor system provides multiple ways to find a sales order linked to a particular unit the serial number is by far the easiest as all serialized products are traced through the Infor system,The infor system provides multiple ways to find a sales order linked to a particular unit the serial number is by far the easiest as all serialized products are traced through the Infor system,Slide S5. Order Enquiry Using Serial Number– Startup SOP — Order Enquiry Using Serial Number– Startup SOP.,The infor system provides multiple ways to find a sales order linked to a particular unit the serial number is by far the easiest as all serialized products are traced through the Infor system,The infor system provides multiple ways to find a sales order linked to a particular unit the serial number is by far the easiest as all serialized products are traced through the Infor system,09_Order Inquiry Using a Serial Number,https://scottelectricusa.uap.infor.com/#/content/b2be844f-cc50-4661-a4c1-8b36f22cc2dd?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S5.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,24,S3a. Verify Payment Status – Startup SOP,S3a. Verify Payment Status – Startup SOP,S3a,Verify Payment Status – Startup SOP,../images/StartUp/S3a.png,You've reached the end of this path. What would you like to do next?,S998b,S999,You have come to the end of the path selected in the – Generator Startup Process,Go to end of SIP slide,You've reached the end of this path. What would you like to do next?,,once an order has been identied the next is to make sure that the payment has been received in full,once an order has been identied the next is to make sure that the payment has been received in full,Slide S3a. Verify Payment Status – Startup SOP — Verify Payment Status – Startup SOP.,once an order has been identied the next is to make sure that the payment has been received in full,once an order has been identied the next is to make sure that the payment has been received in full,01_Order Inquiry,https://scottelectricusa.uap.infor.com/#/content/34c69ec2-473e-408c-b4ac-ca2d8f3da53d?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S3a.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,25,S998b. You have come to the end of the path selected in the – Generator Startup Process,S998b. You have come to the end of the path selected in the – Generator Startup Process,S998b,You have come to the end of the path selected in the – Generator Startup Process,../images/StartUp/S998b.png,,,,No Gen Set Not sold by Palco,,,"Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny",Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances,"Slide S998b. You have come to the end of the path selected in the – Generator Startup Process — Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny.",Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S998b.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,26,N1. No Gen Set Not sold by Palco – Startup SOP,N1. No Gen Set Not sold by Palco – Startup SOP,N1,No Gen Set Not sold by Palco – Startup SOP,../images/StartUp/N1.png,,,,Create New Unit,,,,Early in this SOP the question was asked if the Generator was sold by PPS and you the trainee had indicated that the unit was not bought from PPS,Early in this SOP the question was asked if the Generator was sold by PPS and you the trainee had indicated that the unit was not bought from PPS,Slide N1. No Gen Set Not sold by Palco – Startup SOP — No Gen Set Not sold by Palco – Startup SOP.,Early in this SOP the question was asked if the Generator was sold by PPS and you the trainee had indicated that the unit was not bought from PPS,Early in this SOP the question was asked if the Generator was sold by PPS and you the trainee had indicated that the unit was not bought from PPS,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/N1.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,27,S6. Create New Unit – Startup SOP,S6. Create New Unit – Startup SOP,S6,Create New Unit – Startup SOP,../images/StartUp/S6.png,,,,Create Chargeable SRO,,,,Since the unit was not bought from PPS the startup cost is not covered or paid to PPS. Being a customer focused organization PPS can still and will offer the start up service as abillable service. And a Unit (needs to be created ) so that it can be added to an SRO,Since the unit was not bought from PPS the startup cost is not covered or paid to PPS. Being a customer focused organization PPS can still and will offer the start up service as abillable service. And a Unit (needs to be created ) so that it can be added to an SRO,Slide S6. Create New Unit – Startup SOP — Create New Unit – Startup SOP.,Since the unit was not bought from PPS the startup cost is not covered or paid to PPS. Being a customer focused organization PPS can still and will offer the start up service as abillable service. And a Unit (needs to be created ) so that it can be added to an SRO,Since the unit was not bought from PPS the startup cost is not covered or paid to PPS. Being a customer focused organization PPS can still and will offer the start up service as abillable service. And a Unit (needs to be created ) so that it can be added to an SRO,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S6.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,28,S7. Create Chargeable SRO – Startup SOP,S7. Create Chargeable SRO – Startup SOP,S7,Create Chargeable SRO – Startup SOP,../images/StartUp/S7.png,,,,You have come to the end of the path selected in the – Generator Startup Process,,,,Create achargable SRO this is an SOP in its own right and is covered elsewhere,Create achargable SRO this is an SOP in its own right and is covered elsewhere,Slide S7. Create Chargeable SRO – Startup SOP — Create Chargeable SRO – Startup SOP.,Create achargable SRO this is an SOP in its own right and is covered elsewhere,Create achargable SRO this is an SOP in its own right and is covered elsewhere,01_Service Order Process,https://scottelectricusa.uap.infor.com/#/folder/3a4b3dad-96fe-4694-a768-791383f32e32?bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S7.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,29,S998. You have come to the end of the path selected in the – Generator Startup Process,S998. You have come to the end of the path selected in the – Generator Startup Process,S998,You have come to the end of the path selected in the – Generator Startup Process,../images/StartUp/S998.png,You've reached the end of this path. What would you like to do next?,,S999,You have successfully completed this SOP on Generator Startup at PPS,Go to end of SIP slide,,"Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny",Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances,"Slide S998. You have come to the end of the path selected in the – Generator Startup Process — Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny.",Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,../images/StartUp/S998.png,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,30,S999. You have successfully completed this SOP on Generator Startup at PPS,S999. You have successfully completed this SOP on Generator Startup at PPS,S999,You have successfully completed this SOP on Generator Startup at PPS,../images/StartUp/S999.png,,,,,,,,Thank you for completing this module on Generator Startup Procedure SOP .,Thank you for completing this module on Generator Startup Procedure SOP .,Slide S999. You have successfully completed this SOP on Generator Startup at PPS — You have successfully completed this SOP on Generator Startup at PPS.,Thank you for completing this module on Generator Startup Procedure SOP .,Thank you for completing this module on Generator Startup Procedure SOP .,,,No,Palco,Service,StartUp,,,,,../quiz,PPS_StartUp_quiz.html,Check your Startup Knowledge,../images/StartUp/S999.png,
